Age,5 km,6 km,4 Mile,8 km,5 Mile,10 km,12 km,15 km,10 Mile,20 km,H. Mar,25 km,30 km,Marathon,50 km,50 Mile,100 km,150 km,100 Mile,200 km
22,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
23,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
24,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
25,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
26,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
27,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
28,779,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
29,780,942,1014,1272,1279,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
30,781,944,1015,1273,1280,1603,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
31,783,945,1017,1274,1281,1604,1942,2455,2640,3315,3503,4205,5110,7377,8970,16080,21360,36300,39850,52800
32,785,948,1019,1276,1283,1606,1944,2456,2641,3316,3504,4206,5111,7378,8972,16083,21364,36307,39858,52811
33,788,951,1022,1279,1286,1608,1947,2460,2645,3319,3507,4210,5116,7385,8980,16098,21384,36340,39894,52858
34,792,954,1026,1283,1290,1613,1952,2465,2650,3324,3512,4216,5124,7397,8994,16124,21418,36398,39958,52943
35,796,959,1031,1288,1295,1618,1958,2472,2657,3332,3521,4226,5136,7414,9015,16161,21467,36482,40050,53065
36,800,964,1036,1294,1301,1624,1965,2480,2666,3343,3531,4239,5151,7436,9042,16210,21532,36593,40171,53226
37,805,970,1042,1301,1308,1632,1974,2491,2677,3356,3545,4255,5171,7465,9077,16272,21615,36733,40326,53430
38,811,976,1049,1309,1316,1641,1984,2503,2690,3372,3561,4275,5195,7499,9119,16346,21714,36901,40510,53675
39,817,983,1057,1318,1325,1651,1997,2518,2705,3390,3580,4298,5223,7540,9168,16435,21832,37101,40730,53966
40,823,990,1064,1328,1335,1663,2010,2534,2723,3411,3602,4324,5254,7586,9224,16535,21964,37326,40977,54293
41,828,998,1072,1338,1345,1676,2025,2553,2743,3435,3627,4354,5291,7638,9288,16649,22116,37585,41261,54670
42,834,1005,1080,1348,1355,1689,2041,2573,2765,3461,3655,4388,5332,7697,9359,16778,22287,37876,41580,55092
43,840,1012,1088,1358,1366,1702,2058,2594,2787,3490,3685,4424,5376,7760,9436,16916,22470,38186,41921,55544
44,846,1020,1096,1369,1376,1716,2074,2615,2810,3518,3716,4460,5420,7825,9514,17056,22656,38502,42268,56003
45,853,1028,1105,1380,1387,1730,2091,2637,2833,3548,3747,4497,5465,7890,9594,17198,22845,38824,42620,56471
46,859,1036,1113,1391,1398,1744,2108,2658,2857,3578,3778,4535,5511,7955,9673,17341,23035,39146,42974,56940
47,865,1044,1122,1402,1409,1758,2126,2681,2880,3608,3810,4573,5557,8023,9755,17488,23230,39478,43339,57423
48,872,1052,1131,1413,1420,1773,2143,2703,2905,3638,3842,4612,5605,8091,9839,17637,23429,39816,43710,57914
49,878,1060,1139,1424,1432,1787,2162,2726,2929,3669,3875,4652,5653,8161,9924,17790,23631,40159,44087,58414
50,885,1068,1148,1436,1444,1803,2180,2749,2955,3701,3909,4693,5702,8232,10010,17944,23837,40509,44470,58922
51,892,1076,1158,1448,1456,1818,2199,2773,2980,3734,3943,4733,5752,8304,10097,18100,24043,40860,44856,59433
52,899,1085,1167,1460,1468,1833,2217,2797,3006,3767,3978,4775,5803,8377,10186,18260,24256,41222,45253,59959
53,906,1094,1176,1472,1480,1849,2237,2822,3033,3800,4014,4818,5855,8452,10277,18423,24473,41590,45658,60495
54,913,1103,1186,1484,1493,1865,2256,2847,3059,3834,4050,4861,5908,8528,10370,18590,24694,41965,46069,61040
55,920,1112,1196,1497,1505,1882,2276,2872,3087,3869,4087,4906,5961,8606,10464,18759,24918,42347,46489,61596
56,927,1121,1206,1510,1518,1898,2297,2898,3115,3905,4124,4950,6015,8684,10559,18929,25144,42731,46910,62154
57,935,1130,1216,1523,1531,1915,2317,2925,3143,3940,4162,4996,6071,8764,10657,19104,25377,43127,47345,62730
58,943,1139,1226,1536,1545,1932,2338,2952,3172,3977,4201,5043,6128,8846,10757,19283,25615,43530,47788,63317
59,950,1149,1237,1550,1558,1950,2360,2979,3202,4014,4240,5090,6186,8930,10858,19465,25856,43941,48239,63915
60,958,1159,1247,1564,1572,1968,2382,3007,3232,4053,4281,5139,6245,9015,10962,19650,26103,44360,48699,64524
61,966,1169,1258,1578,1586,1986,2404,3035,3262,4091,4321,5188,6304,9101,11066,19837,26351,44782,49161,65137
62,974,1179,1269,1592,1601,2005,2427,3064,3294,4131,4363,5238,6365,9189,11173,20030,26607,45217,49639,65770
63,982,1189,1280,1606,1615,2024,2450,3094,3326,4171,4406,5289,6428,9279,11283,20226,26868,45660,50126,66415
64,991,1199,1292,1621,1630,2043,2473,3124,3358,4212,4450,5342,6491,9371,11395,20427,27134,46113,50622,67073
65,999,1210,1303,1636,1645,2063,2497,3155,3391,4254,4494,5395,6556,9465,11509,20631,27406,46574,51129,67744
66,1008,1221,1315,1652,1661,2083,2522,3186,3425,4297,4539,5449,6622,9559,11624,20837,27679,47039,51639,68420
67,1017,1232,1327,1667,1676,2103,2547,3218,3460,4341,4586,5505,6689,9657,11742,21050,27962,47519,52167,69119
68,1026,1243,1339,1683,1692,2124,2573,3250,3494,4386,4633,5561,6758,9757,11864,21267,28250,48010,52705,69832
69,1037,1256,1353,1700,1709,2146,2598,3283,3530,4431,4681,5619,6829,9858,11987,21489,28545,48510,53254,70560
70,1048,1270,1368,1719,1728,2169,2626,3318,3567,4477,4731,5679,6901,9962,12113,21715,28845,49021,53815,71303
71,1061,1285,1385,1739,1749,2194,2657,3356,3608,4527,4783,5741,6977,10072,12247,21955,29164,49563,54410,72092
72,1075,1302,1403,1762,1771,2223,2690,3398,3653,4583,4841,5811,7062,10195,12396,22222,29519,50166,55072,72968
73,1090,1320,1423,1787,1797,2254,2728,3445,3703,4644,4906,5889,7157,10332,12563,22521,29916,50840,55812,73950
74,1107,1340,1445,1814,1824,2288,2769,3496,3757,4712,4977,5975,7261,10482,12745,22847,30350,51577,56621,75021
75,1125,1362,1469,1844,1854,2326,2814,3552,3818,4786,5056,6069,7375,10647,12946,23207,30827,52389,57512,76201
76,1145,1386,1495,1876,1887,2367,2863,3614,3884,4869,5142,6172,7500,10828,13166,23602,31352,53280,58491,77499
77,1166,1413,1524,1912,1922,2412,2918,3682,3956,4958,5237,6286,7639,11029,13410,24039,31933,54268,59575,78936
78,1190,1441,1555,1951,1962,2461,2977,3756,4035,5057,5341,6411,7791,11247,13676,24516,32566,55344,60756,80500
79,1216,1473,1589,1994,2005,2515,3042,3837,4123,5165,5455,6548,7957,11487,13968,25039,33261,56524,62052,82217
80,1244,1507,1626,2040,2051,2574,3113,3926,4219,5285,5581,6699,8141,11752,14290,25617,34029,57830,63486,84117
81,1275,1545,1667,2091,2103,2639,3190,4024,4324,5415,5718,6864,8341,12042,14643,26249,34868,59256,65051,86190
82,1308,1586,1712,2148,2159,2710,3276,4132,4439,5559,5870,7046,8562,12361,15030,26944,35791,60824,66773,88472
83,1345,1631,1761,2209,2221,2788,3370,4250,4566,5717,6038,7248,8807,12715,15460,27715,36815,62565,68683,91003
84,1386,1681,1815,2277,2289,2874,3475,4382,4707,5893,6222,7469,9076,13103,15933,28561,37940,64476,70782,93783
85,1431,1736,1875,2352,2365,2970,3590,4526,4862,6087,6426,7714,9374,13533,16456,29499,39185,66593,73106,96863
86,1480,1797,1941,2435,2448,3075,3717,4687,5034,6303,6653,7987,9706,14011,17037,30541,40570,68946,75689,100285
87,1535,1865,2015,2528,2541,3193,3860,4866,5228,6544,6908,8292,10077,14547,17689,31710,42122,71584,78584,104121
88,1597,1940,2098,2631,2645,3325,4019,5067,5443,6813,7192,8633,10491,15145,18415,33012,43851,74523,81811,108397
89,1665,2025,2190,2747,2762,3473,4198,5293,5685,7117,7511,9016,10956,15817,19232,34477,45798,77830,85442,113208
90,1743,2120,2294,2878,2894,3640,4401,5548,5959,7459,7874,9452,11486,16581,20162,36143,48011,81591,89571,118678
91,1830,2228,2412,3026,3043,3830,4630,5840,6272,7850,8285,9946,12086,17448,21216,38032,50520,85856,94253,124882
92,1930,2352,2547,3197,3214,4048,4894,6173,6630,8300,8758,10513,12775,18443,22425,40200,53400,90750,99625,132000
93,2044,2494,2703,3393,3411,4300,5199,6559,7044,8819,9307,11172,13576,19599,23831,42721,56748,96440,105871,140276
94,2177,2660,2884,3622,3641,4594,5557,7010,7530,9426,9946,11939,14509,20945,25468,45656,60647,103066,113146,149915
95,2332,2854,3098,3891,3911,4941,5977,7542,8103,10147,10703,12848,15613,22539,27406,49129,65261,110907,121754,161320
96,2517,3085,3352,4212,4234,5356,6482,8183,8788,11010,11611,13938,16937,24451,29732,53298,70799,120318,132085,175008
97,2739,3365,3661,4602,4626,5863,7098,8963,9628,12063,12724,15274,18562,26796,32583,58409,77588,131856,144751,191791
98,3012,3712,4041,5086,5112,6490,7862,9935,10675,13378,14108,16935,20580,29710,36126,64760,86025,146194,160491,212646
99,3353,4146,4525,5699,5725,7293,8839,11179,12011,15061,15879,19062,23164,33441,40662,72892,96827,164551,180644,239347
100,3794,4715,5155,6500,6532,8349,10130,12827,13779,17293,18235,21890,26601,38402,46694,83706,111192,188964,207444,274857
